,index,Total_Revenue
2023-12-10,1.0,105307073.0
2023-12-17,2.0,159454363.0
2023-12-24,3.0,229334384.0
2023-12-31,4.0,253482341.0
2024-01-07,5.0,249037988.0
2024-01-14,6.0,267129689.0
2024-01-21,7.0,267643213.0
2024-01-28,8.0,238284074.0
2024-02-04,9.0,300709013.0
2024-02-11,10.0,332608704.0
2024-02-18,11.0,321736085.0
2024-02-25,12.0,337521336.0
2024-03-03,13.0,344301596.0
2024-03-10,14.0,330478246.0
2024-03-17,15.0,336563128.0
2024-03-24,16.0,340618011.0
2024-03-31,17.0,294645888.0
2024-04-07,18.0,320493535.0
2024-04-14,19.0,298454206.0
2024-04-21,20.0,331602620.0
2024-04-28,21.0,305161601.0
2024-05-05,22.0,328891910.0
2024-05-12,23.0,329174636.0
2024-05-19,24.0,309246696.0
2024-05-26,25.0,297696649.0
2024-06-02,,317919057.04772395
2024-06-09,,321217600.61119443
2024-06-16,,318340942.849237
2024-06-23,,320243170.94516695
2024-06-30,,335571163.9140266
2024-07-07,,338869707.4774971
2024-07-14,,335993049.71553975
2024-07-21,,337895277.8114697
2024-07-28,,353223270.7803293
2024-08-04,,356521814.34379977
2024-08-11,,353645156.5818424
2024-08-18,,355547384.67777234
